iata_code,icao_code,name
DF7,FA7X,Dassault Falcon 7X
DF9,F900,Dassault Falcon 900
DHP,DHC2,De Havilland Canada DHC-2 Beaver
DHR,DH2T,De Havilland Canada DHC-2 Turbo-Beaver
DHL,DHC3,De Havilland Canada DHC-3 Otter
DHC,DHC4,De Havilland Canada DHC-4 Caribou
DHT,DHC6,De Havilland Canada DHC-6 Twin Otter
DH7,DHC7,De Havilland Canada DHC-7 Dash 7
DH1,DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH2,DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH3,DH8C,De Havilland Canada DHC-8-300 Dash 8
DH4,DH8D,De Havilland Canada DHC-8-400 Dash 8Q
DHD,DOVE,De Havilland DH.104 Dove
DHH,HERN,De Havilland DH.114 Heron
D10,DC10,Douglas DC-10
D3F,DC3,Douglas DC-3
D6F,DC6,Douglas DC-6
D8T,DC85,Douglas DC-8-50
D8L,DC86,Douglas DC-8-62
D8Q,DC87,Douglas DC-8-72
D91,DC91,Douglas DC-9-10
D92,DC92,Douglas DC-9-20
D93,DC93,Douglas DC-9-30
D94,DC94,Douglas DC-9-40
D95,DC95,Douglas DC-9-50
E70,E170,Embraer 170
E75,,Embraer 175
E7W,E75L,Embraer 175 (long wing)
E90,E190,Embraer 190
E95,E195,Embraer 195
290,E290,Embraer E190-E2
295,E295,Embraer E195-E2
EMB,E110,Embraer EMB 110 Bandeirante
EM2,E120,Embraer EMB 120 Brasilia
ER3,E35L,Embraer Legacy 600
EP1,E50P,Embraer Phenom 100
EP3,E55P,Embraer Phenom 300
ERD,E135,Embraer RJ140
ER4,E145,Embraer RJ145
FRJ,J328,Fairchild Dornier 328JET
D28,D228,Fairchild Dornier Do.228
D38,D328,Fairchild Dornier Do.328
100,F100,Fokker 100
F50,F50,Fokker 50
F70,F70,Fokker 70
F27,F27,Fokker F27 Friendship
F21,F28,Fokker F28 Fellowship
GRS,G159,Gulfstream Aerospace G-159 Gulfstream I
GR3,G280,Gulfstream G280
GJ6,GLF6,Gulfstream G650
GJ4,GLF4,Gulfstream IV
GJ5,GLF5,Gulfstream V
ACP,AC68,Gulfstream/Rockwell (Aero) Commander
ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander
YN2,Y12,Harbin Yunshuji Y12
HS7,A748,Hawker Siddeley HS 748
I14,I114,Ilyushin IL114
IL8,IL18,Ilyushin IL18
IL6,IL62,Ilyushin IL62
IL7,IL76,Ilyushin IL76
ILW,IL86,Ilyushin IL86
I93,IL96,Ilyushin IL96
LRJ,LJ35,Learjet 35
L10,L101,Lockheed L-1011 Tristar
L49,CONI,Lockheed L-1049 Super Constellation
LOH,C130,Lockheed L-182 / 282 / 382 (L-100) Hercules
LOE,L188,Lockheed L-188 Electra
M11,MD11,McDonnell Douglas MD-11
M81,MD81,McDonnell Douglas MD-81
M82,MD82,McDonnell Douglas MD-82
M83,MD83,McDonnell Douglas MD-83
M87,MD87,McDonnell Douglas MD-87
M88,MD88,McDonnell Douglas MD-88
M90,MD90,McDonnell Douglas MD-90
YS1,YS11,NAMC YS-11
PN6,P68,Partenavia P.68
BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander
BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander
PL2,PC12,Pilatus PC-12
PL6,PC6T,Pilatus PC-6 Turbo Porter
PA2,PA31,Piper PA-31 Navajo
PAG,PA46,Piper PA-46
S20,SB20,Saab 2000
SF3,SF34,Saab SF340A/B
SHB,BELF,Shorts SC-5 Belfast
SHS,SC7,Shorts SC-7 Skyvan
SH3,SH33,Shorts SD.330
SH6,SH36,Shorts SD.360
S58,S58T,Sikorsky S-58T
S61,S61,Sikorsky S-61
S76,S76,Sikorsky S-76
S92,S92,Sikorsky S-92
SU9,SU95,Sukhoi Superjet 100-95
TU3,T134,Tupolev Tu-134
TU5,T154,Tupolev Tu-154
T20,T204,Tupolev Tu-204
YK4,YK40,Yakovlev Yak-40
YK2,YK42,Yakovlev Yak-42
